67-64-1;7732-18-5;439.64;1405.49;Acetone/Water
67-64-1;56-23-5;651.76;-12.67;Acetone/Carbon tetrachloride
71-43-2;56-23-5;-103.41;204.82;Benzene/Carbon tetrachloride
64-17-5;7732-18-5;382.3;955.45;Ethanol/Water
67-56-1;7732-18-5;205.3;482.16;Methanol/Water
75-05-8;7732-18-5;643.9541;1388.0606;Acetonitrile/Water p76 1/1a
75-07-0;7732-18-5;-227.0345;1915.108;Acetaldehyde/Water p86 1/1a
75-21-8;7732-18-5;-100.6887;8741.2478;Ethyleneoxide/Water p88 1/1a
7732-18-5;64-19-7;801.0312;7.0955;Water/Acetic acid p100 1/1a
7732-18-5;123-39-7;2634.3466;-1361.2425;Water/n-Methylformamide p115 1/1a
7732-18-5;67-68-5;-479.7582;10775.204;Water/Dimethylsulfoxide p165 1/1a
124-40-3;7732-18-5;-135.679;137.3556;Dimethylamine/Water p174 1/1a
75-04-7;7732-18-5;1970.1607;8.5935;Ethylamine/Water p177 1/1a
7732-18-5;107-15-3;-230.1187;-780.4712;Water/Ethylenediamine p179 1/1a
107-13-1;7732-18-5;1253.3617;1761.5532;Acrylonitrile/Water p182 1/1a
7732-18-5;79-10-7;1290.2479;-237.3703;Water/Acrylic acid p186 1/1a
107-05-1;7732-18-5;1311.2013;2734.75;3-chloro-1-propene/Water p188 1/1a
107-12-0;7732-18-5;1331.0782;1767.8771;Propionitrile/Water p189 1/1a
107-18-6;7732-18-5;547.5028;1131.3858;Allylalcohol/Water p208 1/1a
123-38-6;7732-18-5;1166.4954;2119.7817;Propionicaldehyde/Water p209 1/1a
79-20-9;7732-18-5;645.7225;1918.232;Methylacetate/Water p214 1/1a
7732-18-5;79-09-4;1015.3651;758.4305;Water/Propionicacid p215 1/1a
7732-18-5;110-88-3;1816.6639;413.5527;Water/1,3,5-trioxane p225 1/1a
7732-18-5;68-12-2;1153.5074;-930.1771;Water/N,n-dimethylformamide p234 1/1a
71-23-8;7732-18-5;775.4823;1351.8979;1-propanol/Water p240 1/1a
67-63-0;7732-18-5;437.9789;1238.9966;2-propanol/Water p251 1/1a
109-87-5;7732-18-5;737.637;2351.7548;Dimethoxymethane/Water p252 1/1a
75-31-0;7732-18-5;1119.3728;588.6799;Isopropylamine/Water p266 1/1a
107-10-8;7732-18-5;324.3976;734.1443;Propylamine/Water p267 1/1a
